CODE ISIN,Code Maroclear,OPCVM,Société de Gestion,Nature juridique,Classification,Sensibilité,Indice Bentchmark,Périodicité VL,Souscripteurs,Affectation des résultats,Commission de souscription,Commission de rachat,Frais de gestion,Dépositaire,Réseau placeur,AN,VL,YTD,1 jour,1 semaine,1 mois,3 mois,6 mois,1 an,2 ans,3 ans,5 ans,DatePublication,TypePublication
MA0000039364,3936,PROFIL FLEXIBLE,WAFA GESTION,FCP,DIVERSIFIÉ,-,75% MASI + 25% MBI MT,QUOTIDIENNE,FGP,DISTRIBUANT,0.02,0.02,0.02,ATTIJARIWAFA BANK,WAFA GESTION; ATTIJARIWAFA BANK,1032802867.02,1646.62,0.041314,0.001356,-0.011241,-0.022336,0.045141,0.025676,0.067452,0.231928,0.288042,-,2026-06-29,Quotidienne
MA0000039372,3937,AFG T-BOND FUND,AFG ASSET MANAGEMENT,FCP,OMLT,"]1,1  10]",MBI MLT,QUOTIDIENNE,FNPP,MIXTE,0.0,0.0,0.02,ATTIJARIWAFA BANK,AFG ASSET MANAGEMENT,1223233005.65,1120.8,-0.034829,0.002271,0.002962,-0.005951,0.012734,-0.033044,-0.019089,0.15478,0.286903,-,2026-06-29,Quotidienne
MA0000039414,3941,FCP EMERGENCE ACTIONS,VALORIS MANAGEMENT,FCP,ACTIONS,-,MASI 20,QUOTIDIENNE,FGP,CAPITALISANT,0.03,0.015,0.02,ATTIJARIWAFA BANK,VALORIS GROUP;VALORIS MANAGEMENT,327209046.77,1779.48,-0.053156,-9.0e-05,-0.017307,-0.03628,0.028268,-0.074595,-0.038685,0.469746,0.752474,-,2026-06-29,Quotidienne
MA0000039430,3943,FCP SANLAM OBLIGATIONS,VALORIS MANAGEMENT,FCP,OMLT,"]1,1   10]",MBI GLOBAL,QUOTIDIENNE,FNPP,MIXTE,0.03,0.015,0.02,BCP,VALORIS MANAGEMENT,994844949.68,1275.32,-0.02074,0.002098,0.003359,-0.001245,0.014615,-0.021829,-0.000917,0.16698,-,-,2026-06-29,Quotidienne
MA0000039448,3944,AFG GOV BOND FUND,AFG ASSET MANAGEMENT,FCP,OMLT,]4  8],MBI GLOBAL,QUOTIDIENNE,FGP,MIXTE,0.03,0.03,0.02,ATTIJARIWAFA BANK,AFG ASSET MANAGEMENT,2805829688.52,1220.16,-0.012712,0.002045,0.003644,-0.00251,0.011439,-0.01453,-0.008532,0.111216,0.2138,-,2026-06-29,Quotidienne
MA0000039455,3945,AFG FLEXIBLE FUND,AFG ASSET MANAGEMENT,FCP,DIVERSIFIÉ,-,75% MBI GLOBAL + 25% MASI RB,QUOTIDIENNE,FNPP,MIXTE,0.03,0.03,0.02,BCP,AFG ASSET MANAGEMENT,901053788.98,1316.24,-0.029922,0.001735,-0.004312,-0.017629,0.021775,-0.037625,-0.01823,0.224237,0.398076,-,2026-06-29,Quotidienne
MA0000039463,3946,ATLAS LIQUIDITE,ATLAS CAPITAL MANAGEMENT,FCP,OCT,"0,5 ; 1,1]",MBI CT,QUOTIDIENNE,FGP,CAPITALISANT,0.03,0.03,0.02,BANK OF AFRICA,ATLAS CAPITAL MANAGEMENT,67064763.93,147.56,0.012835,0.000203,0.000475,0.002241,0.008681,0.013114,0.026647,0.064109,-,-,2026-06-29,Quotidienne
MA0000039471,3947,AZ TAWFIR,WAFA GESTION,FCP,OMLT,"]1,1  13]",MBI MLT,QUOTIDIENNE,FNPP,MIXTE,0.03,0.015,0.02,BCP,WAFA GESTION,381117653.19,839466.19,-0.017652,0.002131,0.004357,-0.005685,0.005402,-0.0166,-0.011944,0.112647,-,-,2026-06-29,Quotidienne
MA0000039497,3949,CAPITAL IMTIYAZ GARANTI,BMCE CAPITAL GESTION,FCP,CONTRACTUEL,-,MONIA,QUOTIDIENNE,FGP,CAPITALISANT,0.01,0.01,0.02,BANK OF AFRICA,BMCE CAPITAL GESTION,1513405184.09,1057.42,0.010473,0.00017,0.000397,0.001971,0.005362,0.010589,0.021316,0.045625,-,-,2026-06-29,Quotidienne
MA0000039513,3951,FCP MAROGEST BONDS,MAROGEST,FCP,OMLT,"]1,1   8,1]",100% MBI GLOBAL,QUOTIDIENNE,FNPP,CAPITALISANT,0.0,0.0,0.0,CIH BANK,MAROGEST,762704373.09,1082.95,-0.018391,0.000786,0.002407,-0.002404,0.011347,-0.020478,-0.006149,0.077348,-,-,2026-06-29,Quotidienne
MA0000039547,3954,FCP ALPHA BONDS,RED MED ASSET MANAGEMENT,FCP,OMLT,"]1,1   10]",MBI GLOBAL,QUOTIDIENNE,FNPP,CAPITALISANT,0.0,0.0,0.02,BCP,RED MED ASSET MANAGEMENT,2316238528.66,1205.05,-0.003185,0.001538,0.002871,-0.000796,0.010041,-0.002698,0.005155,0.108602,0.19728,-,2026-06-29,Quotidienne
MA0000039570,3957,AFG ACTIVE BOND FUND,AFG ASSET MANAGEMENT,FCP,OMLT,]4  8],95% MBI GLOBAL + 5% MASI,QUOTIDIENNE,FGP,MIXTE,0.03,0.03,0.02,BANQUE CENTRALE POPULAIRE,AFG ASSET MANAGEMENT,1443188432.52,1093.5,-0.017273,0.001438,0.001998,-0.006325,0.008969,-0.019265,-0.007137,-,-,-,2026-06-29,Quotidienne
